artist,track,time,date.entered,week,position
2 Pac,Baby Don't Cry (Keep...,4:22,2000-02-26,1,87
2Ge+her,The Hardest Part Of ...,3:15,2000-09-02,1,91
3 Doors Down,Kryptonite,3:53,2000-04-08,1,81
3 Doors Down,Loser,4:24,2000-10-21,1,76
504 Boyz,Wobble Wobble,3:35,2000-04-15,1,57
98^0,Give Me Just One Nig...,3:24,2000-08-19,1,51
A*Teens,Dancing Queen,3:44,2000-07-08,1,97
Aaliyah,I Don't Wanna,4:15,2000-01-29,1,84
Aaliyah,Try Again,4:03,2000-03-18,1,59
"Adams, Yolanda",Open My Heart,5:30,2000-08-26,1,76
"Adkins, Trace",More,3:05,2000-04-29,1,84
"Aguilera, Christina",Come On Over Baby (A...,3:38,2000-08-05,1,57
"Aguilera, Christina",I Turn To You,4:00,2000-04-15,1,50
"Aguilera, Christina",What A Girl Wants,3:18,1999-11-27,1,71
Alice Deejay,Better Off Alone,6:50,2000-04-08,1,79
"Allan, Gary",Smoke Rings In The D...,4:18,2000-01-22,1,80
Amber,Sexual,4:38,1999-07-17,1,99
Anastacia,I'm Outta Love,4:01,2000-04-01,1,92
"Anthony, Marc",My Baby You,3:59,2000-09-16,1,82
"Anthony, Marc",You Sang To Me,3:50,2000-02-26,1,77
Avant,My First Love,4:28,2000-11-04,1,70
Avant,Separated,4:13,2000-04-29,1,62
BBMak,Back Here,3:35,2000-04-29,1,99
"Backstreet Boys, The",Shape Of My Heart,3:49,2000-10-14,1,39
"Backstreet Boys, The",Show Me The Meaning ...,3:54,2000-01-01,1,74
"Backstreet Boys, The",The One,3:46,2000-05-27,1,58
"Badu, Erkyah",Bag Lady,5:03,2000-08-19,1,67
Baha Men,Who Let The Dogs Out,3:17,2000-07-22,1,99
Barenaked Ladies,Pinch Me,3:46,2000-09-09,1,77
Beenie Man,Girls Dem Sugar,4:17,2000-10-21,1,72
Before Dark,Monica,4:04,2000-05-20,1,95
"Bega, Lou",Tricky Tricky ,3:23,2000-01-29,1,75
Big Punisher,It's So Hard,3:25,2000-04-22,1,96
Black Rob,Whoa!,4:04,2000-03-04,1,78
"Black, Clint",Been There,5:28,2000-02-19,1,87
Blaque,Bring It All To Me,3:46,1999-10-23,1,73
"Blige, Mary J.",Deep Inside,5:26,1999-11-13,1,83
"Blige, Mary J.",Give Me You,5:00,2000-04-15,1,97
